# generated by scripts/build_qto_index.py — do not edit
# <ifc_class>\t<Qto_SetName>\t<comma-separated quantities>
ifcairterminal	Qto_AirTerminalBaseQuantities	Perimeter,TotalSurfaceArea
ifcairterminaldiffuser	Qto_AirTerminalBaseQuantities	Perimeter,TotalSurfaceArea
ifcairterminalgrille	Qto_AirTerminalBaseQuantities	Perimeter,TotalSurfaceArea
ifcairterminallouvre	Qto_AirTerminalBaseQuantities	Perimeter,TotalSurfaceArea
ifcairterminalregister	Qto_AirTerminalBaseQuantities	Perimeter,TotalSurfaceArea
ifcbeam	Qto_BeamBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcbeambeam	Qto_BeamBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcbeamcornice	Qto_BeamBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcbeamdiaphragm	Qto_BeamBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcbeamedgebeam	Qto_BeamBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcbeamgirdersegment	Qto_BeamBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcbeamhatstone	Qto_BeamBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcbeamhollowcore	Qto_BeamBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcbeamjoist	Qto_BeamBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcbeamlintel	Qto_BeamBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcbeampiercap	Qto_BeamBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcbeamspandrel	Qto_BeamBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcbeamtbeam	Qto_BeamBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifcboiler	Qto_BoilerBaseQuantities	TotalSurfaceArea
ifcboilersteam	Qto_BoilerBaseQuantities	TotalSurfaceArea
ifcboilerwater	Qto_BoilerBaseQuantities	TotalSurfaceArea
ifcbridgepart	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcbridgepartabutment	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcbridgepartdeck	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcbridgepartdecksegment	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcbridgepartfoundation	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcbridgepartpier	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcbridgepartpiersegment	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcbridgepartpylon	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcbridgepartsubstructure	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcbridgepartsuperstructure	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcbridgepartsurfacestructure	Qto_FacilityPartBaseQuantities	Area,Height,Length,Volume,Width
ifcbuilding	Qto_BuildingBaseQuantities	EavesHeight,FootprintArea,GrossFloorArea,GrossVolume,Height,NetFloorArea,NetVolume
ifcbuildingelementproxy	Qto_BuildingElementProxyQuantities	NetSurfaceArea,NetVolume
ifcbuildingstorey	Qto_BuildingStoreyBaseQuantities	GrossFloorArea,GrossHeight,GrossPerimeter,GrossVolume,NetFloorArea,NetHeight,NetVolume
ifccablecarriersegment	Qto_CableCarrierSegmentBaseQuantities	CrossSectionArea,Length,OuterSurfaceArea
ifccablecarriersegmentcablebracket	Qto_CableCarrierSegmentBaseQuantities	CrossSectionArea,Length,OuterSurfaceArea
ifccablecarriersegmentcableladdersegment	Qto_CableCarrierSegmentBaseQuantities	CrossSectionArea,Length,OuterSurfaceArea
ifccablecarriersegmentcabletraysegment	Qto_CableCarrierSegmentBaseQuantities	CrossSectionArea,Length,OuterSurfaceArea
ifccablecarriersegmentcabletrunkingsegment	Qto_CableCarrierSegmentBaseQuantities	CrossSectionArea,Length,OuterSurfaceArea
ifccablecarriersegmentcatenarywire	Qto_CableCarrierSegmentBaseQuantities	CrossSectionArea,Length,OuterSurfaceArea
ifccablecarriersegmentconduitsegment	Qto_CableCarrierSegmentBaseQuantities	CrossSectionArea,Length,OuterSurfaceArea
ifccablecarriersegmentconduitsegment	Qto_ConduitSegmentBaseQuantities	InnerDiameter,OuterDiameter
ifccablecarriersegmentdropper	Qto_CableCarrierSegmentBaseQuantities	CrossSectionArea,Length,OuterSurfaceArea
ifccablesegment	Qto_CableSegmentBaseQuantities	CrossSectionArea,Length,OuterSurfaceArea
ifccablesegmentbusbarsegment	Qto_CableSegmentBaseQuantities	CrossSectionArea,Length,OuterSurfaceArea
ifccablesegmentcablesegment	Qto_CableSegmentBaseQuantities	CrossSectionArea,Length,OuterSurfaceArea
ifccablesegmentconductorsegment	Qto_CableSegmentBaseQuantities	CrossSectionArea,Length,OuterSurfaceArea
ifccablesegmentcontactwiresegment	Qto_CableSegmentBaseQuantities	CrossSectionArea,Length,OuterSurfaceArea
ifccablesegmentcoresegment	Qto_CableSegmentBaseQuantities	CrossSectionArea,Length,OuterSurfaceArea
ifccablesegmentfibersegment	Qto_CableSegmentBaseQuantities	CrossSectionArea,Length,OuterSurfaceArea
ifccablesegmentfibertube	Qto_CableSegmentBaseQuantities	CrossSectionArea,Length,OuterSurfaceArea
ifccablesegmentopticalcablesegment	Qto_CableSegmentBaseQuantities	CrossSectionArea,Length,OuterSurfaceArea
ifccablesegmentstitchwire	Qto_CableSegmentBaseQuantities	CrossSectionArea,Length,OuterSurfaceArea
ifccablesegmentwirepairsegment	Qto_CableSegmentBaseQuantities	CrossSectionArea,Length,OuterSurfaceArea
ifcchimney	Qto_ChimneyBaseQuantities	Length
ifccolumn	Qto_ColumnBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifccolumncolumn	Qto_ColumnBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifccolumnpierstem	Qto_ColumnBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifccolumnpierstemsegment	Qto_ColumnBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifccolumnpilaster	Qto_ColumnBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifccolumnstandcolumn	Qto_ColumnBaseQuantities	CrossSectionArea,GrossSurfaceArea,GrossVolume,Length,NetSurfaceArea,NetVolume,OuterSurfaceArea
ifccourse	Qto_CourseBaseQuantities	GrossVolume,Length,Thickness,Volume,Width
ifccoursearmour	Qto_CourseBaseQuantities	GrossVolume,Length,Thickness,Volume,Width
ifccourseballastbed	Qto_CourseBaseQuantities	GrossVolume,Length,Thickness,Volume,Width
ifccoursecore	Qto_CourseBaseQuantities	GrossVolume,Length,Thickness,Volume,Width
ifccoursefilter	Qto_CourseBaseQuantities	GrossVolume,Length,Thickness,Volume,Width
ifccoursepavement	Qto_CourseBaseQuantities	GrossVolume,Length,Thickness,Volume,Width
ifccourseprotection	Qto_CourseBaseQuantities	GrossVolume,Length,Thickness,Volume,Width
ifccovering	Qto_CoveringBaseQuantities	GrossArea,NetArea,Width
ifccoveringceiling	Qto_CoveringBaseQuantities	GrossArea,NetArea,Width
ifccoveringcladding	Qto_CoveringBaseQuantities	GrossArea,NetArea,Width
ifccoveringcoping	Qto_CoveringBaseQuantities	GrossArea,NetArea,Width
ifccoveringflooring	Qto_CoveringBaseQuantities	GrossArea,NetArea,Width
ifccoveringinsulation	Qto_CoveringBaseQuantities	GrossArea,NetArea,Width
ifccoveringmembrane	Qto_CoveringBaseQuantities	GrossArea,NetArea,Width
ifccoveringmolding	Qto_CoveringBaseQuantities	GrossArea,NetArea,Width
ifccoveringroofing	Qto_CoveringBaseQuantities	GrossArea,NetArea,Width
ifccoveringskirtingboard	Qto_CoveringBaseQuantities	GrossArea,NetArea,Width
ifccoveringsleeving	Qto_CoveringBaseQuantities	GrossArea,NetArea,Width
ifccoveringtopping	Qto_CoveringBaseQuantities	GrossArea,NetArea,Width
ifccoveringwrapping	Qto_CoveringBaseQuantities	GrossArea,NetArea,Width
ifccurtainwall	Qto_CurtainWallQuantities	GrossSideArea,Height,Length,NetSideArea,Width
ifcdistributionchamberelement	Qto_DistributionChamberElementBaseQuantities	Depth,GrossSurfaceArea,GrossVolume,NetSurfaceArea,NetVolume
